Group,Column,Company
2018,2017,2018
Shs’m,Shs’m,Shs’m
"117,230","101,997","116,472"
(390),108,(390)
"1,400","1,423","1,406"
"(26,280)","(24,000)","(26,199)"
"91,960","79,528","91,289"
"(36,422)","(35,334)","(36,422)"
23,124,23
-,"(2,517)",-
"(36,399)","(37,727)","(36,399)"
"(38,863)","(57,694)","(38,863)"
(653),(915),(653)
"18,606","27,400","18,606"
"(31,110)","(10,856)","(31,110)"
-,-,352
"(52,020)","(42,065)","(51,668)"
"3,541",(264),"3,222"
"5,956","6,220","5,821"
"3,541",(264),"3,222"
"9,497","5,956","9,043"
