Column,"8 May
2012","11 Sept
2012","7 Nov
2012","19 Feb
2013"
"Mr. timothy Harrabin
(resigned september 2012)
non-executive Director",,,,
"Mrs. esther Koimett
non-executive Director",,,,
"Ms. nancy W Macharia
non-executive Director",,,,
"Mr. sunil sood
(appointed november 2012)
non-executive Director",,,,
