"FY20
IFRS 15/16","FY20
IFRS 15/IAS17","FY19
IFRS15/IAS17","% Change
IFRS15/IAS17","IFRS 16
Impact"
4.20,4.20,4.20,0.0%,0.00
82.79,83.83,65.22,28.5%,(1.04)
56.09,56.09,50.08,12.0%,0.00
0.00,0.00,24.84,(100.0%),0.00
143.08,144.12,144.35,(0.2%),(1.04)
13.64,1.97,1.87,5.3%,11.67
156.72,146.09,146.22,(0.1%),10.63
164.40,149.17,142.52,4.7%,15.23
2.56,2.56,1.99,28.6%,0.00
1.86,1.86,1.78,4.5%,0.00
17.19,18.36,18.13,1.3%,(1.17)
26.76,26.76,20.03,33.6%,0.00
0.19,0.19,8.04,(97.6%),0.00
0.26,0.14,0.00,100.0%,0.12
48.82,49.87,49.96,(0.2%),(1.06)
3.55,0.00,0.00,0.0%,3.55
9.41,9.41,9.28,1.4%,0.00
1.05,1.05,0.00,100.0%,0.00
29.92,29.92,28.70,4.3%,0.00
4.46,4.46,3.89,14.7%,0.00
0.11,0.11,0.35,(68.6%),0.00
8.00,8.00,4.03,98.5%,0.00
56.50,52.95,46.26,14.5%,3.55
(7.68),(3.08),3.70,(<100.0%),(4.60)
156.72,146.09,146.22,(0.1%),10.63
