Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Customer loyalty programmes
Deferred airtime revenue
Deferred connection revenue
Deferred integrated products
Deferred Neo voice and data
Deferred fixed data
Deferred fibre and site rental revenue
Deferred bulk SMS
Deferred Visa revenues
Deferred bundled handset resources
Deferred emergency top up access fee
Deferred PRSP initial set-up fee
Deferred interest on device financing","2,965.1","4,509.1","2,965.1","4,509.1"
,"2,598.1","2,335.1","2,289.1","2,335.1"
,"1,906.0","1,243.3","1,838.5","1,243.3"
,"1,811.8","1,683.3","1,749.9","1,683.3"
,"1,349.9","1,138.3","1,349.9","1,138.3"
,717.7,637.5,717.7,637.5
,225.6,274.7,225.6,274.7
,152.1,128.7,152.1,128.7
,–,189.8,–,189.8
,3.1,0.4,3.1,0.4
,3.9,4.4,3.9,4.4
,0.4,2.8,0.4,2.8
,–,0.7,–,0.7
Total contract liabilities,"11,733.7","12,148.1","11,295.3","12,148.1"
"The movement of the contract liabilities is as below:
Opening balance – 1 April
Additions in the year
Recognised as revenue in the year",,,,
,"12,148.1","13,469.6","12,148.1","13,469.6"
,"211,080.3","189,898.3","210,641.9","189,898.3"
,"(211,494.7)","(191,219.8)","(211,494.7)","(191,219.8)"
Closing balance – 31 March,"11,733.7","12,148.1","11,295.3","12,148.1"
"Current
Non-current","10,125.9","10,210.6","9,687.5","10,210.6"
,"1,607.8","1,937.5","1,607.8","1,937.5"
,"11,733.7","12,148.1","11,295.3","12,148.1"
