Column,31 MARCH 2023,Column,Column,31 MARCH 2022,Column,Column
,"KShs’m
At a point
in time","KShs’m
Over time","KShs’m
Total","KShs’m
At a point
in time","KShs’m
Over time","KShs’m
Total"
"M-PESA revenue
Voice revenue
Mobile data revenue
Fixed data revenue
Messaging revenue
Interconnect revenue
Mobile incoming
Other services revenues*","114,359.7",–,"114,359.7","105,218.1",–,"105,218.1"
,–,"80,918.2","80,918.2",–,"83,211.8","83,211.8"
,–,"53,596.0","53,596.0",–,"48,441.0","48,441.0"
,–,"13,496.6","13,496.6",–,"11,242.5","11,242.5"
,–,"11,371.7","11,371.7",–,"10,876.7","10,876.7"
,–,"5,302.2","5,302.2",–,"6,840.6","6,840.6"
,–,"2,753.8","2,753.8",–,"3,007.6","3,007.6"
,–,"10,008.2","10,008.2",–,"9,383.8","9,383.8"
"Service revenue
Handset revenue
Connection revenue","114,359.7","177,446.7","291,806.4","105,218.1","173,004.0","278,222.1"
,"9,796.9",–,"9,796.9","12,334.7",–,"12,334.7"
,–,976.1,976.1,–,"1,999.4","1,999.4"
Total revenue,"124,156.6","178,422.8","302,579.4","117,552.8","175,003.4","292,556.2"
