Shs’000,Column,Shs’000,Column,Shs’000
"2,003,271",,"69,475,332",,"92,509,394"
-,,"31,751,249",,"31,751,249"
-,,-,,"(18,830,751)"
-,,"(25,641,874)",,-
-,-,"(25,641,874)","6,811,123","(18,830,751)"
"2,003,271","2,200,040","75,584,707","25,641,874","105,429,892"
,"2,200,040
-
-
-",,"25,641,874
-
(25,641,874)
30,483,432",
"2,003,271",,"75,584,707",,"105,429,892"
-,,"37,764,792",,"37,764,792"
-,,-,,"(25,641,874)"
-,,"(30,483,432)",,-
-,-,"(30,483,432)","4,841,558","(25,641,874)"
"2,003,271","2,200,040","82,866,067","30,483,432","117,552,810"
