Summary - Industry Performance: Jun‘2014 vs Jun’ 2015,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,Safaricom,,,Airtel and YU,,,Orange,,,Finserve
,Jun'2014,Jun'2015,%,Jun'2014,Jun'2015,%,Jun'2014,Jun'2015,%,Jun'2015
Market Share by Subscribers (%),68.0,67.0,-1ppt,23.70,19.40,-4.3ppt,8.3,11.2,2.9ppt,2.1
Mobile Subscribers (Millions),21.93,24.2,10.4%,7.68,7.00,-8.9%,2.69,4.05,50.6%,0.87
Market Share by Voice Minutes (%),78.1,68.8,-9.3ppt,17.30,20.20,2.9ppt,4.0,10.8,6.8ppt,0.2
Total Minutes (Billions),5.82,6.31,8.4%,1.27,1.86,46.5%,0.29,0.99,241.4%,0.02
SMS Market Share (%),96.6,90.3,-6.3ppt,3.10,8.00,4.9ppt,0.3,1.6,1.3ppt,0.1
Total SMS (Billions),6.7,5.9,-11.4%,0.21,0.53,152.4%,0.02,0.1,400.0%,0.06
Mobile Data market share (%),71.6,63.0,-8.6ppt,17.10,19.00,1.9ppt,11.3,14.0,2.7ppt,4
Total Mobile Data Subscriptions,9.97,12.6,26.4%,2.38,3.79,59.2%,1.57,2.8,77.7%,0.79
(Millions),,,,,,,,,,
Mobile Money Market Share (%),0.7295,0.8,3.0ppt,0.20,0.11,-9.0ppt,0.007,0.0,0%,0.03
Mobile Money Subscribers (millions),19.78,21.34,7.9%,5.39,3.12,-42.1%,0.19,0.2,0.0%,0.87
"Key
-Increase
-Decrease
-No Change Source: Communications Authority of Kenya (CA) Sector Statistics reports",,,,,,,,,,
