Description,Number of Shares,Nominal Value of Shares
"Authorised
Capital","119,999,999,600 ordinary shares,
par value KShs 0.05 each;
5 non-voting, non-participating
redeemable preference shares,
par value KShs 4.00 each","KShs 5,999,999,980
KShs 20"
Issued Capital,"40,000,000,000 ordinary shares,
par value KShs 0.05 each
5 non-voting, non-participating
redeemable preference shares,
par value KShs 4.00 each","KShs 2,000,000,000
KShs 20"
Unissued Capital,"79,999,999,600 ordinary shares","KShs 3,999,999,980"
