FY22,FY21,% Change YoY
"83,211.8","82,552.0",0.8%
"10,876.7","13,602.4",(20.0%)
"48,441.0","44,793.2",8.1%
"107,691.8","82,647.4",30.3%
"9,848.2","9,470.4",4.0%
"9,795.3","7,779.2",25.9%
"269,864.8","240,844.6",12.0%
"11,242.5","9,507.2",18.3%
"281,107.3","250,351.8",12.3%
"16,527.3","12,316.5",34.2%
-,837.7,(100.0%)
443.3,520.5,(14.8%)
"298,077.9","264,026.5",12.9%
"(91,467.8)","(80,015.1)",14.3%
"(2,361.2)","(3,009.7)",(21.5%)
-,(837.7),(100.0%)
"204,248.9","180,164.0",13.4%
68.5%,68.5%,0.0ppt
"(55,187.0)","(46,034.8)",19.9%
18.5%,17.5%,1.0ppt
"149,061.9","134,129.2",11.1%
50.0%,51.0%,(1.0ppt)
"(39,933.3)","(37,964.3)",5.2%
"109,128.6","96,164.9",13.5%
36.6%,36.5%,0.1ppt
"(6,439.2)","(2,022.4)",>100.0%
(476.0),(507.0),(6.1%)
"102,213.4","93,635.5",9.2%
"(34,717.3)","(24,959.3)",39.1%
"67,496.1","68,676.2",(1.7%)
"69,648.1","68,676.2",1.4%
"(2,152.0)",-,100.0%
"(9,536.3)",-,100.0%
"57,959.8","68,676.2",(15.6%)
"64,335.4","68,676.2",(6.3%)
"(6,375.6)",-,100.0%
1.74,1.71,1.8%
