Shs’000,Column,Shs’000,Column,Shs’000
"2,003,271",,"68,201,917",,"91,235,979"
-,,"31,871,303",,"31,871,303"
-,,-,,"(18,830,751)"
-,,"(25,641,874)",,-
-,-,"(25,641,874)","6,811,123","(18,830,751)"
"2,003,271","2,200,040","74,431,346","25,641,874","104,276,531"
,"2,200,040
-
-
-",,"25,641,874
-
(25,641,874)
30,483,432",
"2,003,271",,"74,431,346",,"104,276,531"
-,,"38,104,290",,"38,104,290"
-,,-,,"(25,641,874)"
-,,"(30,483,432)",,-
-,-,"(30,483,432)","4,841,558","(25,641,874)"
"2,003,271","2,200,040","82,052,204","30,483,432","116,738,947"
