Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"At start of year
Charge for the year
Addition ARO provision
Payments and release for the year","6,557.1","5,712.9","6,557.1","5,712.9"
,"1,532.9","1,377.4","1,532.9","1,377.4"
,926.0,(286.5),(126.1),(286.5)
,(29.1),(246.7),(29.1),(246.7)
At end of year,"8,986.9","6,557.1","7,934.8","6,557.1"
"Current
Non-current","4,524.1","3,373.8","4,524.1","3,373.8"
,"4,462.8","3,183.3","3,410.7","3,183.3"
,"8,986.9","6,557.1","7,934.8","6,557.1"
