Notes,"Share
capital","Share
premium","Retained
earnings","Proposed
dividends","Total
equity"
,"Shs’000
2,003,271
-
-
-",Shs’000,"Shs’000
74,431,440
38,104,290
-
(30,483,432)",Shs’000,
,,"2,200,040",,"25,641,874",
,,-,,-,
15,,-,,"(25,641,874)",
15,,-,,"30,483,432",
,-,-,"(30,483,432)","4,841,558",
,"2,003,271","2,200,040","82,052,298","30,483,432",
,"2,003,271
-
-
-
-
-",,"82,052,298
48,444,418
-
33,707
(27,244,491)
(38,863,465)",,
,,"2,200,040",,"30,483,432",
,,-,,-,
15,,-,,"(30,483,432)",
,,-,,-,
15,,-,,-,
15,,-,,"38,863,465",
,-,-,"(66,074,249)","8,380,033",
,"2,003,271","2,200,040","64,422,467","38,863,465",
