(b) Company,"Neither past
due nor
impaired","Past due
but not
impaired",Impaired,Total
,Shs’000,Shs’000,Shs’000,
,"41,202",-,"1,937","43,139"
,"867,175","273,546","324,612","1,465,333"
,"398,732","397,779","496,745","1,293,256"
,"1,794,075","268,930","8,421","2,071,426"
,"4,333,241","139,343","409,096","4,881,680"
,"2,590,573","1,708,648","169,477","4,468,698"
,"474,353",-,-,"474,353"
,"10,499,351","2,788,245","1,410,288","14,697,885"
,"170,513","158,542","1,590","330,645"
,"1,158,337","265,044","422,248","1,845,629"
,"810,005","586,690","599,046","1,995,741"
,"2,421,926","248,618","1,987","2,672,531"
,"503,228","348,261","564,660","1,416,149"
,"9,279,818",-,-,"9,279,818"
,"837,588",-,-,"837,588"
,"15,181,415","1,607,155","1,589,531","18,378,101"
