Column,"139,604.2
(67.9)
2,940.9
(32,114.6)",Column
"132,551.8",,"132,866.4"
180.1,,180.1
"1,566.7",,"1,547.0"
"(28,921.2)",,"(28,606.4)"
"105,377.4","110,362.6","105,987.1"
,"(36,098.5)
69.8
–
7,854.4
–
(1,457.8)",
"(35,568.4)",,"(35,568.4)"
84.6,,84.6
"(4,077.8)",,"(4,077.8)"
188.6,,–
"(1,288.7)",,"(1,288.7)"
(0.1),,(0.1)
"(40,661.8)","(29,632.1)","(40,850.4)"
,"(73,877.3)
(2,509.4)
(1,233.4)
(348.8)
20,132.0
(16,164.0)
–",
"(66,482.0)",,"(66,482.0)"
"(2,550.6)",,"(2,550.6)"
"(1,324.0)",,"(1,324.0)"
"(1,154.6)",,"(1,135.9)"
"44,970.0",,"44,970.0"
"(38,198.0)",,"(38,198.0)"
–,,(240.0)
"(64,739.2)","(74,000.9)","(64,960.5)"
(23.6),"6,729.6",176.2
,"20,030.1
6,729.6",
"26,759.7",,"25,859.7"
(23.6),,176.2
"26,736.1","26,759.7","26,035.9"
