Column,"Share
capital
KShs’m",Column,"Share
premium
KShs’m","Retained
earnings
KShs’m","Proposed
dividend
KShs’m","Total
equity
KShs’m"
,"2,003.3",,"2,200.0","137,065.2","24,840.6","166,109.1"
,–,,–,"82,653.8",–,"82,653.8"
"15
15",,,,,,
,,–,–,–,"(24,840.6)","(24,840.6)"
,,–,–,"(22,036.0)",–,"(22,036.0)"
,,–,–,"(26,042.5)","26,042.5",–
,–,,–,"(48,078.5)","1,201.9","(46,876.6)"
,"2,003.3",,"2,200.0","171,640.5","26,042.5","201,886.3"
,"2,003.3
–",,"2,200.0
–","110,204.0
74,939.6","30,049.1
–",
"15
15","–
–
–",,,,,
,,"–
–
–","–
–
–","–
(23,237.8)
(24,840.6)","(30,049.1)
–
24,840.6","(30,049.1)
(23,237.8)
–"
,–,,–,"(48,078.4)","(5,208.5)",
,"2,003.3",,"2,200.0","137,065.2","24,840.6",
