Column,Year ended 31 March,Column,Column,Column,Column,Six months ended,Column
,,,,,,30 September,
,2003,2004,2005,2006,2007,2006,2007
"Subscribers (end of period) (in
thousands)",865,"1,529","2,513","3,944","6,082","4,644","7,95612"
Revenue (in KShs millions),"14,304","18,858","26,912","34,972","47,447","21,410","28,650"
EBITDA (in KShs millions),"6,816","9,814","14,106","18,570","24,508","10,877","12,985"
Blended monthly ARPU13,"1,622","1,223","1,105",902,799,802,665
