FY22,FY21,% Change
"149,061.9","134,129.2",11.1%
"5,439.2","(2,497.3)",<100.0%
"(4,971.2)","(3,656.2)",36.0%
(7.3),(37.4),(80.5%)
(47.1),(38.0),23.9%
"145,475.5","127,900.3",16.9%
"(49,778.5)","(34,960.2)",42.4%
49.3,84.6,(41.8%)
"99,746.2","93,024.7",7.2%
"(1,947.9)",412.1,>(100.0%)
"(34,128.7)","(28,921.2)",18.0%
"63,669.7","64,515.6",(1.3%)
