Column,"2023
KShs’m","2022
KShs’m"
"Total equity
Current liabilities
Non-current liabilities",415.7,462.2
,386.7,189.9
,–,–
Total liabilities and equity,802.4,652.1
"Non-current assets
Current assets",24.1,4.3
,778.3,647.8
Total assets,802.4,652.1
