"2019
KShs’m",Column,"2019
KShs’m"
"125,286",,"124,993"
(333),,(333)
"2,318",,"2,300"
"(27,460)",,"(27,184)"
"99,811","91,960","99,776"
,"(36,422)
23
-",
"(37,253)",,"(36,857)"
245,,245
"(8,043)",,"(7,867)"
"(45,051)","(36,399)","(44,479)"
,"(38,863)
(653)
18,606
(31,110)
-
-",
"(44,071)",,"(44,071)"
(148),,(148)
"8,028",,"8,028"
"(8,036)",,"(8,036)"
-,,(407)
-,,122
"(44,227)","(52,020)","(44,512)"
"10,533","3,541","10,785"
,"5,956
3,541",
"9,497",,"9,043"
"10,533",,"10,785"
"20,030","9,497","19,828"
