Column,Safaricom,Celtel
Ownership,"Government of Kenya (60%)
Vodafone Kenya Limited (40%)","Celtel International (80%)
Sameer Group (20%)6"
Market share7,80%,18%
Technology,"GSM-900 and GSM-1800: 1996, GPRS:
July, 2004, 3G Full Licence: November,
2007","GSM-900: August, 2000, GPRS:
December, 2005"
Subscribers,"9,245,000 as of 31 December, 2007","2,104,000 as of 31 December, 20076"
Prepaid share,"98.8% as of 31 December, 2007","98.0% as of 31 December, 20076"
Revenues8,USD677million (first nine months),USD194 million (2007)6
