"305,954.4
3,167.2","1,195.6
595.5","307,150.0
3,762.7","(7.9)
–"
"309,121.6
(90,441.6)
(4,720.2)
(53,608.0)","1,791.1
(1,798.4)
(5.1)
(20,477.0)","310,912.7
(92,240.0)
(4,725.3)
(74,085.0)","(7.9)
7.9
–
–"
"160,351.8","(20,489.4)","139,862.4",–
"(37,067.7)
(281.3)
(2,329.6)
(4,419.0)","(2,686.8)
–
(6,088.3)
(1,992.3)","(39,754.5)
(281.3)
(8,417.9)
(6,411.3)","–
–
–
–"
"116,254.2","(31,256.8)","84,997.4",–
"3,862.5
(9,805.2)
90.0
12.5
(50.7)
–","212.7
(1,478.0)
–
–
–
10,383.1","4,075.2
(11,283.2)
90.0
12.5
(50.7)
10,383.1","–
120.9
–
–
–
–"
"110,363.3","(22,139.0)","88,224.3",120.9
"(35,862.4)",–,"(35,862.4)",–
"74,500.9","(22,139.0)","52,361.9",120.9
