"2015
Shs’000","2014
Shs’000
2,003,271
2,200,040
69,475,332
18,830,751"
"2,003,271",
"2,200,040",
"75,584,707",
"25,641,874",
"105,429,892","92,509,394
5,102,380
5,102,380"
"490,762",
"490,762",
"105,920,654","97,611,774"
,"2,737,839
97,618,163
714,931
745,891
15,860
4,855,097
1,527
707,906"
"1,653,376",
"107,724,849",
"9,852,858",
"837,341",
"11,819",
"4,757,055",
"1,002",
"633,408",
"125,471,708","107,397,214"
,"2,955,967
7,709,309
17,585,006"
"8,258,601",
"10,101,896",
"13,996,400",
"32,356,897","28,250,282"
,"29,245,744
1,276,978
7,513,000"
"41,141,067",
"617,666",
"10,149,218",
"51,907,951","38,035,722"
,"(9,785,440)"
"(19,551,054)",
"105,920,654","97,611,774"
