KShs Bn,30 Sep 2019,30 Sep 2018,YoY Variance,% Change
,"66.49
2.94
(0.01)","61.79
5.99
(0.08)","4.71
(3.06)
0.07","7.6%
(51.0%)
(86.5%)"
Operating cash flow,69.42,67.70,1.72,2.5%
,"(18.11)
51.31
1.80
(15.77)","(16.85)
50.85
1.28
(13.71)","(1.26)
0.46
0.52
(2.06)","7.5%
0.9%
40.3%
15.0%"
