Shs Bn FY 18,"FY 17
Reported","FY 17
Normalized**","YoY%
Reported","YoY%
Normalized"
,204.11,204.11,10.0%,10.0%
Handset and other revenue 8.98,8.70,8.70,3.2%,3.2%
,0.08,0.08,>100,>100
Total Revenue 233.72,212.89,212.89,9.8%,9.8%
,2.51,0.28,(80.1%),79.2%
Direct costs (70.55),(66.78),(66.78),5.6%,5.6%
,(0.08),(0.08),>100,>100
Contribution margin 163.47,148.54,146.31,10.1%,11.7%
Direct costs,,,,
,(17.75),(17.75),11.3%,11.3%
Airtime Commissions (11.42),(11.42),(11.42),0.0%,0.0%
,(10.18),(10.18),(8.3%),(8.3%)
Interconnect & Roaming (7.05),(7.36),(7.36),(4.2%),(4.2%)
,(6.18),(6.18),7.4%,7.4%
Customer Acquisition and Retention (7.32),(7.24),(7.24),1.1%,1.1%
,(5.70),(5.70),5.1%,5.1%
Bad Debts (1.04),(0.03),(0.03),>100,>100
,(0.92),(0.92),>100,>100
Total (70.55),(66.78),(66.78),5.6%,5.6%
