Column,"Monetary
*ETB’m","Non-
monetary
*ETB--’m","Total
*ETB’m"
"Assets
Liabilities","6,449.7","97,254.3","103,704.0"
,"(32,098.0)",(179.2),"(32,277.2)"
"Equity
Retained earnings","(25,648.3)","97,075.1","71,426.8"
,,,"82,454.5"
,,,"(15,272.8)"
Net monetary gain ETB,,,"67,181.7"
,,,"4,245.1"
"Exchange rate (USD/KShs)
Exchange rate (USD/ETB)
Exchange rate (ETB/KShs)",,,132.5
,,,54.2
,,,2.4459
Net hyperinflationary monetary gain (KShs),,,"10,383.1"
