Column,Column,Column,Column,FY24,Column,H,1 FY25,FY25
"C
e","ash
quiv","and cash
alents",,21,.3,,23.0,15.9
,"hor
orro","t term
wings",(39,,.8),,(34.5),
"Long term
borrowings",,,,(36.1),,(46.2),,(40.5)
