GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
,"2,258.5
766.9",,"2,258.5
766.9"
"2,541.6",,"2,541.6",
548.5,,548.5,
"3,090.1","3,025.4","3,090.1","3,025.4"
,"1,509.2",,"1,509.2"
"1,000.1",,"1,000.1",
"4,090.2","4,534.6","4,090.2","4,534.6"
,"3,445.5
6,320.5
(5,231.4)",,"3,445.5
6,320.5
(5,231.4)"
"4,534.6",,"4,534.6",
"6,066.1",,"6,066.1",
"(6,510.5)",,"(6,510.5)",
"4,090.2","4,534.6","4,090.2","4,534.6"
"2,951.5","3,043.4
1,491.2","2,951.5","3,043.4
1,491.2"
"1,138.7",,"1,138.7",
"4,090.2","4,534.6","4,090.2","4,534.6"
