Name,Nationality,Date of Appointment
Nicholas Nganga,Kenyan,6 May 2004
Robert William Collymore*,British/Kenyan,5 September 2006
Michael Joseph,American/Kenyan,8 September 2008
Linda Watiri Muriuki,Kenyan,31 August 2017
Henry Rotich,Kenyan,5 November 2013
Vivek Badrinath,French,12 January 2017
"Gianluca Ventura (Alt. to Vivek
Badrinath)**",Italian,31 August 2017
Bitange Ndemo,Kenyan,2 March 2017
Sateesh Kamath (Alt. to Bob Collymore),Indian,30 June 2016
"Esther Jepkemoi Koimett (Alt. to Henry
Rotich)",Kenyan,5 November 2013
Mohamed Joosub,South African,31 August 2017
Till Streichert,German,8 May 2018
Rose Ogega,Kenyan,12 February 2019
"Francesco Bianco (Alt. to Vivek
Badrinath)***",Italian,2 May 2019
