Kshs Bn,31-Mar-13,31-Mar-12,% Increase/
,,,(Decrease)
"Voice revenue
Messaging revenue
Mobile data revenue
Fixed service revenue
M-PESA revenue",77.66,"68.96
7.77
5.22
1.37
16.87",12.62
,10.13,,30.37
,6.31,,20.88
,2.11,,54.01
,21.84,,29.46
"Service Revenue
Handset revenue
Acquisition and other revenue",118.05,"100.19
5.94
0.87",17.83
,4.93,,(17.00)
,1.31,,50.57
"Total Revenue
Direct costs",124.29,"107.00
(43.47)",16.16
,(46.26),,6.42
"Contribution margin
Contribution margin %
Operating costs
Operating cost % total revenue",78.03,"63.53
59.37%
(26.03)
24.33%",22.82
,62.78%,,3.41
,(28.85),,10.83
,23.21%,,(1.12)
EBITDA,49.18,37.50,31.15
"EBITDA margin %
Depreciation & amortisation
Financing cost
Taxation",,"35.04%
(17.35)
(2.78)
(4.74)",
,39.57%,,4.53
,(22.08),,27.26
,(1.65),,(40.65)
,(7.91),,66.88
Net Income,17.54,12.63,38.88
"Earnings per share
Recommended Dividend per share",,"0.32
0.22",
,0.44,,37.50
,0.31,,40.91
