Column,"2024
KShs’m","2023
KShs’m","2024
KShs’m","2023
KShs’m"
"5(a)
5(b)","345,893.4","307,142.1","335,330.8",
,"3,553.8","3,762.7","4,386.5",
"6(a)
6(b)
7","349,447.2","310,904.8","339,717.3",
,"(97,046.9)","(92,232.1)","(89,261.9)",
,"(5,807.4)","(4,725.3)","(6,073.4)",
,"(83,300.3)","(74,085.0)","(59,146.1)",
"18
19
21
22(a)","163,292.6","139,862.4","185,235.9",
,"(55,162.3)","(39,754.5)","(39,324.3)",
,(281.3),(281.3),(281.3),
,"(17,804.5)","(8,417.9)","(2,836.4)",
,"(9,699.7)","(6,411.3)","(4,503.2)",
"8
9
20
23(b)
23(b)
36","80,344.8","84,997.4","138,290.7",
,"5,459.6","6,686.7","3,288.5",
,"(22,101.1)","(13,773.8)","(16,395.0)",
,–,90.0,–,
,(2.9),12.5,(2.9),
,"(1,376.2)",(50.7),"(1,376.2)",
,"22,363.2","10,383.1",–,
12(a),"84,687.4","88,345.2","123,805.1",
,"(42,029.0)","(35,862.4)","(41,151.3)",
,"42,658.4","52,482.8","82,653.8",
,"62,991.7","62,268.9","82,653.8",
,"(20,333.3)","(9,786.1)",–,
,"42,658.4","52,482.8","82,653.8",
"13
13",1.6,1.6,2.1,
,1.6,1.6,2.1,
,"42,658.4","52,482.8","82,653.8",
,"(7,278.1)","10,260.0",–,
,"(7,278.1)","10,260.0",–,
,"35,380.3","62,742.8","82,653.8",
,"59,230.9","67,984.7","82,653.8",
,"(23,850.6)","(5,241.9)",–,
,"35,380.3","62,742.8","82,653.8",
