31-Mar-22,31-Mar-21,% Change
"143,574.7","132,551.8",8.3%
"1,254.5","1,566.7",(19.9%)
"(34,128.7)","(28,921.2)",18.0%
"110,700.5","105,197.3",5.2%
"(41,058.0)","(35,568.4)",15.4%
49.2,84.6,(41.8%)
"(96,288.3)","(4,077.8)",>100.0%
-,188.6,(100.0%)
352.3,180.1,95.6%
-,"(1,288.7)",(100.0%)
-,(0.1),(100.0%)
"(136,944.8)","(40,481.7)",>100.0%
"(59,132.3)","(66,482.0)",(11.1%)
"(3,806.4)","(2,550.6)",49.2%
"(1,347.9)","(1,324.0)",1.8%
"(2,477.9)","(1,154.6)",>100.0%
"120,564.8","44,970.0",>100.0%
"(70,026.0)","(38,198.0)",83.3%
"46,607.9",-,100.0%
"30,382.2","(64,739.2)",>(100.0%)
"4,137.9",(23.6),>(100.0%)
"26,736.1","26,759.7",(0.1%)
(94.4),-,100.0%
"4,137.9",(23.6),>(100.0%)
"30,779.6","26,736.1",15.1%
