Group,Column,Company,Column
HY24,HY23,HY24,HY23
"54,404.1","67,027.7","77,986.1","71,917.5"
965.6,654.0,890.1,619.0
"(23,366.8)","(27,202.5)","(21,447.1)","(26,805.2)"
"32,002.9","40,479.2","57,429.1","45,731.3"
"(26,574.7)","(23,298.7)","(21,362.7)","(17,549.0)"
97.7,44.0,68.7,44.0
"(23,644.7)","(4,139.5)","(3,167.0)","(4,139.5)"
28.6,0.0,-,(120.0)
206.4,"(1,844.1)","(1,075.0)",-
"(1,075.0)",-,196.5,216.5
(71.7),-,-,-
"(51,033.4)","(29,238.3)","(25,339.5)","(21,547.9)"
"(25,060.5)","(40,688.0)","(25,060.5)","(40,688.0)"
"(2,693.8)","(5,356.4)","(3,161.1)","(3,050.5)"
"(1,948.5)",-,-,-
"(5,748.5)","(3,083.6)","(5,088.7)","(2,986.9)"
"31,751.2","38,953.8","23,593.4","33,153.4"
"(13,047.9)","(21,148.2)","(7,865.2)","(21,801.6)"
-,-,"(19,768.3)","(6,573.9)"
"29,164.4","5,226.2",-,-
"12,416.4","(26,096.2)","(37,350.3)","(41,947.5)"
"(6,614.1)","(14,855.3)","(5,260.7)","(17,764.2)"
"22,098.7","30,794.2","18,063.2","25,571.7"
"3,701.2",43.5,-,-
"1,273.0",-,-,-
"(6,614.1)","(14,855.3)","(5,260.7)","(17,764.2)"
"20,458.8","15,982.4","12,802.5","7,807.6"
