Shs Bn HY 18,"HY 17
Reported","HY 17
Normalized**","YoY%
Reported","YoY%
Normalized"
,45.70,45.70,3.6%,3.6%
Messaging revenue 8.92,8.63,8.63,3.4%,3.4%
,13.40,13.40,31.0%,31.0%
Fixed service revenue 3.23,2.40,2.40,34.7%,34.7%
,25.87,25.87,16.2%,16.2%
Other service revenue 2.63,"H
2.01",2.01,30.7%,30.7%
Service Revenue 109.73,98.01,98.01,12.0%,12.0%
Total Revenue 114.43,102.10,102.10,12.1%,12.1%
,71.80,69.57,10.2%,13.7%
Contribution margin %* 69.1%,68.8%,68.2%,0.2ppts,0.9ppts
,50.81,47.46,6.8%,14.4%
EBITDA margin %* 47.4%,48.7%,46.5%,(1.3)ppts,0.9ppts
,34.46,31.11,8.9%,20.6%
EBIT margin %* 32.8%,33.0%,30.5%,(0.3)ppts,2.3ppts
,23.93,21.58,9.5%,21.4%
Net Income %* 22.9%,22.9%,21.1%,(0.1%),1.7%
Earnings per share*** 0.65,0.60,0.54,9.5%,21.4%
