"7,582.8","4,371.0","1,034.1","2,235.0",20.0,Column,"15,242.9"
560.8,"1,160.3",152.2,"1,075.5",28.9,18.2,"2,995.9"
(168.5),51.5,(37.0),42.00,7.1,–,(104.9)
(144.6),186.2,12.1,(357.4),–,(0.3),(304.0)
"(1,063.0)","(1,051.9)",(297.0),(866.5),(24.7),(1.7),"(3,304.8)"
94.8,2.8,39.8,(4.6),(27.9),–,104.9
37.6,(1.1),11.7,84.6,–,–,132.8
"6,899.9","4,718.8",915.9,"2,208.6",3.4,16.2,"14,762.8"
"8,920.4","6,679.2","1,413.9","3,642.9",78.4,17.9,"20,752.7"
"(2,020.5)","(1,960.4)",(498.0),"(1,434.3)",(75.0),(1.7),"(5,989.9)"
"6,899.9","4,718.8",915.9,"2,208.6",3.4,16.2,"14,762.8"
