FY19,FY20,FY21,FY22,"%Change
YoY FY22"
53.93,58.70,55.60,72.44,30.3%
17.98,18.21,16.96,23.28,37.2%
0.86,1.31,2.01,2.48,22.9%
2.22,6.22,8.07,9.50,17.7%
74.99,84.44,82.65,107.69,30.3%
