VARIANCE
"12.0%
48.7%
43.1%
20.8%
19.8%"
18.1%
"-8.6%
25.4%"
17.1%
-8.2%
22.6%
"2.9%
-11.8%
1.1%"
29.4%
"4.0%
-28.2%
72.4%
-24.3%"
44.9%
"47.4%
167.3%"
