"Voice revenue
M-Pesa revenue
SMS revenue
Mobile data revenue
Fixed service revenue
Other Service Revenue","4 5.19
1 9.35
7.98
9.16
1.86
1.37","4 3.67
1 5.59
7.17
6.50
1.49
1.18","3.5%
24.1%
11.3%
40.9%
24.8%
16.1%"
Service revenue,84.91,75.60,12.3%
"Handset and other revenue
Construction revenue","3.87
8.44","3.74
-","3.5%
-"
Total revenue,97.22,79.34,22.5%
"Other Income
Direct Costs
Construction Costs","0.08
3 0.02
8.44","0.55
2 8.92
-","-85.5%
3.8%
-"
Contribution Margin,58.84,50.97,15.4%
"Contribution margin %
Operating expenses
Forex loss on trading activities
Opex cost & Fx loss % total revenue","66.3%
1 9.22
0.78
22.5%","64.0%
1 7.36
0.08
22.0%","2.3ppt
10.7%
>100%
0.5%"
EBITDA,38.84,33.53,15.8%
"EBITDA margin %
Depreciation & Amortisation
Net Finance income
Forex gain on cash and cash equivs
Share of associate Profit / (loss)","43.75%
1 3.55
0.33
0.69
0.09","41.97%
1 2.59
0.07
0.09
( 0.00)","1.8ppt
7.6%
>100%
>100%
>100%"
EBT,26.40,21.10,25.1%
Tax,8.32,6.40,30.0%
Net Income,18.08,14.71,22.9%
"Earnings per share
Free Cash Flow","0.45
9.52","0.37
1 5.48","22.9%
-38.5%"
