Group,Column,Company
2017,"2016
Shs’000
1,031,454
734,605
1,987
(31,281)
(134,078)",2017
Shs’000,,Shs’000
"1,602,687",,"1,589,531"
"1,945,924",,"1,945,924"
"8,421",,"8,421"
"(1,753,256)",,"(1,753,256)"
"(393,488)",,"(380,332)"
"1,410,288","1,602,687","1,410,288"
