DIRECTOR,SHAREHOLDING
Nicholas Nganga,"855,100"
Robert Collymore,"908,000"
Michael Joseph,"2,357,000"
Henry Rotich,"2,200"
Esther Koimett,"517,600"
Nancy W Macharia,"43,000"
