"2015
Shs’000","2014
Shs’000
62,913,283
1,140,069
(1,494,836)
(11,425,327)"
"74,636,662",
"1,292,085",
"(1,073,091)",
"(13,853,092)",
"61,002,564","51,133,189"
,"(27,780,723)
-
(1,116,411)
45,725
-
(551)"
"(33,866,124)",
"(9,692,259)",
"(228,990)",
"93,835",
"(91,450)",
-,
"(43,784,988)","(28,851,960)"
,"353,311
(12,400,000)
615,380
(8,227,958)"
-,
"(18,830,751)",
"5,914,152",
"(7,889,552)",
"(20,806,151)","(19,659,267)"
"(3,588,575)","2,621,962
14,996,922
2,621,962"
"17,618,884",
"(3,588,575)",
"14,030,309","17,618,884"
