Column,FY23,FY22,% Change
90-day active customers,2.14,–,100%
"90-day active total customer ARPU*
One month active customers (Mn)
One month active customers ARPU*",62.56,"–
–
–",100%
,1.44,,100%
,78.02,,100%
Voice,,,
"90-day active total customer (Mn)
One month active voice customers (Mn)
One month active voice customers ARPU*",1.96,"–
–
–",100%
,1.24,,100%
,21.33,,100%
Mobile Data,,,
"90-day active total customers (Mn)
One month active mobile data customers (Mn)
One month active mobile data customers ARPU*",1.43,"–
–
–",100%
,0.92,,100%
,76.19,,100%
Messaging,,,
"90-day active total customer (Mn)
One month active Messaging customers (Mn)
One month active Messaging customers ARPU*",0.68,"–
–
–",100%
,0.37,,100%
,1.84,,100%
Base Stations,,,
2G/3G/4G base stations,"1,272",–,100%
