Key Performance Indicators,31-Mar-13,31-Mar-12,% Increase/
,,,(Decrease)
"Total customers (m)
M-PESA registered customers (m)
Mobile Data - 30 day active customers (m)
Fixed data customers
Churn (%)
Service revenue ARPU
Voice ARPU
SMS ARPU
M-PESA ARPU
Mobile Broadband ARPU
Fixed Service ARPU
Data (SMS/Broadband/Fixed Data/M-PESA) % total revenue
Number of M-PESA agents
2G base stations
3G base stations
Wimax Sites",19.42,"19.07
14.91
4.55
6,020
27.86
462.36
318.55
35.79
96.06
102.41
19,625
29.19
39,401
2,690
1,439
187",1.84
,17.11,,14.76
,7.13,,56.70
,"6,731",,11.81
,30.54,,2.68
,506.55,,9.56
,336.57,,5.66
,43.83,,22.46
,117.39,,22.20
,89.86,,(12.25)
,"26,584",,35.46
,32.50,,3.31
,"65,547",,66.36
,"2,905",,7.99
,"1,604",,11.47
,203,,8.56
