Group,Column,Company
31 March 2018,31 March 2017,31 March 2018
Shs’m,Shs’m,Shs’m
"2,003","2,003","2,003"
"2,200","2,200","2,200"
"75,640","64,422","74,790"
"44,071","38,863","44,071"
"123,914","107,488","123,064"
"2,160","1,946","2,127"
"121,709","117,199","121,709"
"3,854","4,155","3,854"
845,845,845
"8,756","10,115","8,749"
-,-,24
145,135,145
45,1,45
-,-,122
"1,584","1,338","1,584"
879,793,879
"139,977","136,527","140,083"
"1,605","1,371","1,605"
"15,857","17,835","14,999"
"9,497","5,956","9,043"
503,-,503
"27,462","25,162","26,150"
"35,313","33,805","35,101"
"4,028","2,766","4,028"
144,"1,086",-
"4,040","16,544","4,040"
"43,525","54,201","43,169"
"(16,063)","(29,039)","(17,019)"
"123,914","107,488","123,064"
