% Change
8.0%
6.1%
7.1%
4.8%
4.3ppt
7.1%
1.0%
6.5%
(6.9%)
14.1%
6.8%
10.5%
9.4%
20.3%
81.7%
0.8%
36.1%
100.0%
1.6%
29.5%
11.2%
0.5%
1.4%
18.1%
13.9%
10.1%
(2.1%)
(7.6%)
21.3%
(1.1%)
6.6ppt
17.5%
(16.7%)
(4.7%)
(6.1%)
5.8%
5.8%
6.3%
>100.0%
