Column,"2024
KShs’m",Column,"2024
KShs’m"
"31(a)
12(b)",,"159,596.8
1,571.0
(45,016.7)",
,"149,469.2",,"178,939.7"
,"2,155.0",,"1,940.2"
,"(43,700.6)",,"(41,618.4)"
,"107,923.6","116,151.1","139,261.5"
"21
28
32(x)(a)
32(x)(b)
23(a)
23(b)",,"(66,331.2)
43.8
(5,143.0)
–
(28.6)
(116.6)
–
(300.0)
–
–
–",
,"(66,636.1)",,"(48,839.8)"
,290.0,,261.0
,"(30,992.5)",,"(10,514.8)"
,(59.6),,(59.6)
,28.6,,–
,(796.0),,336.9
,–,,–
,"(1,075.0)",,"(1,075.0)"
,–,,(9.2)
,–,,"(20,663.9)"
,(977.6),,(897.0)
,"(100,218.2)","(71,875.6)","(81,461.4)"
"15
22(b)
22(b)
16
16",,"(63,557.8)
(8,349.1)
(1,768.5)
(6,924.4)
62,238.1
(42,777.2)
14,274.5",
,"(42,010.4)",,"(42,010.4)"
,"(7,727.1)",,"(3,898.1)"
,"(1,913.7)",,"(1,811.0)"
,"(12,776.5)",,"(10,907.6)"
,"65,841.3",,"36,892.5"
,"(41,103.9)",,"(35,055.3)"
,"29,993.8",,–
,"(9,696.5)","(46,864.4)","(56,789.9)"
,"(1,991.1)","(2,588.9)","1,010.2"
,,"30,779.6
537.7
(6,630.3)",
,"22,098.1",,"18,061.9"
,"1,923.5",,–
,837.7,,–
,"(1,991.1)","(2,588.9)","1,010.2"
26(a),"22,868.2","22,098.1","19,072.1"
