Kshs Bn,Column,30-Sep-13,% Increase/
,30-Sep-14,,
,,,(Decrease)
"Voice revenue
Messaging revenue
Mobile data revenue
Fixed service revenue
M-PESA revenue
Other service revenue",43.67,"41.04
6.35
4.25
1.22
12.50
0.90",6.41
,7.17,,12.91
,6.50,,52.94
,1.49,,22.13
,15.59,,24.72
,1.18,,31.11
Service Revenue,75.60,66.26,14.10
"Handset revenue
Acquisition and other revenue",3.10,"2.22
0.73",39.64
,0.64,,(12.33)
Total Revenue,79.34,69.20,14.60
"Other Income
Direct costs",0.55,"0.01
(24.79)",>100
,(28.92),,16.66
Contribution margin,50.97,44.42,14.75
"Contribution margin %
Operating costs
Operating cost % total revenue",64.0%,"64.1%
(15.56)
22.40%",-0.1ppt
,(17.44),,12.08
,21.99%,,-0.41ppt
EBITDA,33.53,28.86,16.18
"EBITDA margin %
Depreciation, impairment & amortisation
Financing cost
Taxation",41.97%,"41.70%
(12.70)
(0.25)
(4.65)",0.27ppt
,(12.59),,(0.87)
,0.17,,(168.00)
,(6.40),,37.63
Net Income,14.71,11.26,30.64
Earnings per share,0.37,0.28,32.14
