ARPU,Average revenue per user
Churn,Total gross customer disconnections in the period divided by the average total customers in the period
2G,Second-generation Technology
3G,Third-generation Technology
4G,Fourth-generation Technology
FTTH,Fibre to the Home
Bn,Billion
LNM,Lipa na M-PESA
Mn,Million
MSMEs,Micro Small and Medium Enterprises
IFRS,International Financial Reporting Standards
IoT,Internet of Things
LTE,Long Term Evolution
MB,Megabyte
NCI,Non-controlling Interest
Ppt,Percentage points
SMS,Short Message Service
ROU,Rights of Use
Trn,Trillion
AML,Anti-money Laundering
KYC,Know Your Customer
