Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Handsets and accessories
Scratch cards
Starter packs
Stationery and other stocks
Set top boxes
Less: Provision for obsolescence","2,362.1","3,402.3","1,288.1","3,402.3"
,53.7,32.6,19.4,32.6
,"1,648.7",733.1,"1,215.9",733.1
,124.4,10.3,4.4,10.3
,–,2.0,–,2.0
,(540.5),(32.9),(296.3),(32.9)
Farm stocks,"3,648.4","4,147.4","2,231.5","4,147.4"
,7.2,159.4,–,–
,"3,655.6","4,306.8","2,231.5","4,147.4"
