Column,Shs’000,Column
,"1,250,801",
,"3,289",
"(1,716,809)
(31,033)
(989,997)
(13,040)","1,254,090","(462,719)
(17,207)
(1,173,451)
(13,040)"
,"13,826",
,"(183,454)",
,-,
"(1,034,070)","(169,628)","(1,203,698)"
"(2,750,879)","1,084,462","(1,666,417)"
