Ksh. Billion,Mar-10,Mar-09,% CHANGE
"Revenue
EBITDA","83.961
36.604","70.480
27.951","19.1%
31.0%"
"EEBBIITTDDAA MMargiin
Operating Profit
Profit Before Tax","4433.66%%
22.611
20.967","3399.77%%
16.175
15.304","39.8%
37.0%"
Net Income,15.148,10.537,43.8%
Key KPIs,,,
"BBaassiicc EEPPSS
Dividend
Shareholder Funds","00.3388
8.000
62541","00.2277
4.000
51253","4444.22%%
100.0%
22.0%"
"Free cashflow
Gearing (Gross Borrowing)
Net debt/EBITDA((times))","6090
24%
0.16","(1,053)
19%
00..2255",678.3%
