"2015
Shs’000","2014
Shs’000
70"
"3,359",
"3,359",70
,"(1,716,879)
(31,033)
(989,997)"
"(466,078)",
"(17,206)",
"(1,173,451)",
"(1,656,735)","(2,737,909)"
"(1,653,376)","(2,737,839)"
