Group,Column,Company,Column
HY24,HY23,HY24,HY23
(141.1),(151.9),(136.6),(146.9)
(82.9),(23.3),(25.5),(18.6)
"(1,076.3)",(469.6),"(1,071.3)",(449.6)
(41.6),(34.8),(26.1),(30.6)
"(1,729.1)","(1,377.2)","(1,233.1)","(1,218.9)"
(369.2),(514.9),(181.8),(222.0)
"(14,081.0)","(13,602.2)","(10,584.5)","(10,402.5)"
(24.9),701.2,(698.6),(74.2)
(336.5),(332.9),(271.0),(235.0)
"(4,320.3)","(3,843.5)","(2,579.7)","(2,607.7)"
"(2,525.1)","(2,076.9)","(1,745.4)","(2,048.6)"
"(12,013.7)","(8,507.9)","(8,146.5)","(6,875.1)"
(789.9),(598.6),(285.5),(259.7)
(209.6),(131.6),(199.7),(126.9)
"(37,741.1)","(30,964.1)","(27,185.2)","(24,716.0)"
