Item,Classification under IAS 39,Classification under IFRS 9
Trade and other receivables,Loans and receivables,Amortised cost
Loan to subsidiary,Loans and receivables,Amortised cost
Restricted cash,Loans and receivables,Amortised cost
Treasury Bills,Loans and receivables,Amortised cost
Cash and bank balances,Loans and receivables,Amortised cost
Borrowings,Loans and receivables,Amortised cost
Payables and accrued expenses,Loans and receivables,Amortised cost
