Timeline,"Camps
held","No of
patients",Surgeries
Phase 1 (2005-2006),15,"51,888",0
Phase 2 (2008-2009),18,"50,966",0
Phase 3 (2011-2012),15,"47,949",0
Phase 4 (2013-2015),23,"61,650",14
Phase 5 (2015-2016),13,"28, 932",550
Total,84,"212,453",564
