Name,Skills and Experience
"Michael Joseph (72)
Non-Executive Director
Appointed September 2008","Michael was the CEO of Safaricom Limited from July 2000 when the company was re-launched as a
joint venture between Vodafone UK and Telkom Kenya. During his tenure, he steered the company
from a subscriber base of less than 20,000 to over 16.71 million subscribers. This phenomenal growth
straddling nearly a decade was motored by the launch of many innovative products and services
such as M-PESA. Today, Safaricom is one of the leading companies in East Africa and one of the most
profitable companies in the region.
He has extensive international experience in company start-ups, the implementation and operation
of large wireless and wire-line networks, including operations in Hungary, Spain, Brazil, Peru, Argenti-
na, Korea, the USA, Australia and the Middle East.
He has dual citizenship, American and Kenyan. He holds a B. Sc. (cum laude) in Electrical Engineering
from the University of Cape Town, and a Honorary Doctorate degree (Doctor of Letters) from Africa
Nazarene University, bestowed to him in recognition of his contribution to the growth of Safaricom as
one of the most innovative, influential and profitable company in the East African region.
Other current appointments
• Director of Mobile Money Vodafone Group Services.
• Chairman of Kenya Airways since October 2016.
• Vodafone’s Strategic Advisor appointed to the Boards of Vodacom Group South Africa, Vodacom
Tanzania, Vodacom Mozambique and Safaricom Limited in Kenya.
• Conservationist and serves as chairman of Lewa Wildlife Conservancy
• Member of the Vodacom Group Board in May 2009.
• Member of the I.E.E.E. and I.E.E. (U.K.)."
"Linda Watiri Muriuki (54)
Non – Executive Director
Appointed August 2017","She served as a Non-Executive Director of Old Mutual Life Assurance Company Limited from 2004 to
2010 and the Capital Markets Authority from 2015 to 2017.
She holds a B.A. Economics degree from York University, Canada an LLB (Honors) from the University
of Leeds, United Kingdom and a Master’s Degree as a Graduate of the Global Executive Masters of
Business Administration from United States International University in collaboration with Columbia
University New York, U.S.A.
Other current appointments
• Senior Partner at LJA Associates and practicing Advocate of the High Court of Kenya with over
Twenty-Seven years’ experience ranked by Chambers and Partners in 2015 and 2016.
• Non-Executive Director of East Africa Reinsurance Company Limited.
• Commissioner for Oaths, Notary Public.
• Member of the Institute of Certified Public Secretary (Kenya).
• Member of the Institute of Directors (K).
• Member of the Law Society of Kenya."
"Kathryne Maundu (39)
Company Secretary
Appointed February 2016","She has over 14 years of consulting experience guiding local and multinational companies and their
boards in discharging their statutory and Corporate Governance mandate. She has vast knowledge
in corporate laws and statutory regulations having worked in various jurisdictions in the East African
Countries of Kenya, Uganda and Tanzania.
Kathryne holds a Bachelor of Laws Degree from the University of Nairobi and a Post Graduate Diplo-
ma in Law from the Kenya School of Law.
Other current appointments
• Senior Manager in the Company Secretarial and Registration Services Department at Deloitte
Limited.
• Accredited Governance Auditor
• Advocate of the High Court of Kenya
• Registered Certified Public Secretary
• Member of the Women on Board Network"
