HY22,HY21,% Change YoY
(22.8),(8.5),>100.0%
(28.3),(29.2),(3.1%)
"(1,310.8)","(1,272.2)",3.0%
(408.0),(21.2),>100.0%
"(10,140.0)","(8,878.4)",14.2%
96.0,(386.6),<(100.0%)
(180.0),(222.7),(19.2%)
"(2,153.0)","(1,644.2)",30.9%
(99.6),(161.2),(38.2%)
"(1,799.4)","(1,795.4)",0.2%
(218.2),(171.7),27.1%
"(6,734.5)","(6,250.6)",7.7%
(256.6),(224.6),14.2%
(158.8),(159.7),(0.5%)
"(23,414.0)","(21,226.2)",10.3%
