Column,Column,Company
Year end,"% Interest Held
100
100
100
100
100
100","2017
Shs’000"
"March 31,",,"741,941"
"March 31,",,-
"March 31,",,-
"March 31,",,"3,950"
"March 31,",,"80,560"
31 December,,"20,000"
,,"846,451"
