"Secondees
Site Collocation Shops Facilities housesEquipment Total
KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m",Column,Column,Column,Column,Column,Column
"(7,289.4)","(5,108.4)",(935.0),"(2,692.0)",(34.4),(14.5),"(16,073.7)"
(477.5),"(4,294.3)",(135.5),(279.7),–,1.6,"(5,185.4)"
(904.3),(518.9),(99.8),(245.3),(2.4),(1.7),"(1,772.4)"
"1,573.3","1,719.3",296.6,946.2,19.9,10.6,"4,565.9"
(48.0),(811.3),20.2,–,(27.5),0.3,(866.3)
(0.4),(182.1),(1.8),–,(0.4),–,(184.7)
"(7,146.3)","(9,195.7)",(855.3),"(2,270.8)",(44.8),(3.7),"(19,516.6)"
"(1,489.7)","(2,316.3)",(270.4),"(1,349.8)",(7.5),(3.7),"(5,437.4)"
"(5,656.6)","(6,879.4)",(584.9),(921.0),(37.3),–,"(14,079.2)"
"(7,146.3)","(9,195.7)",(855.3),"(2,270.8)",(44.8),(3.7),"(19,516.6)"
