Afya Uzazi Salama,"The programme is designed to reduce maternal, neonatal
children’s’ and non-communicable disease morbidity and
mortality in Narok County, and is being implemented by
AMREF Health Africa in Kenya.
The programme is focused on improving the accessibility
and demand for Reproductive, Maternal, Newborn, Child
Health (RMNCAH), and Non-Communicable Disease
(NCD) services."
"Wazesha TVET
Programme","Launched on 12 October 2023 in Isiolo County, with the
goal of improving access to quality, equitable and inclusive
skills and learning opportunities for Kenyan youth.
The programme is being implemented in Nairobi, Isiolo
and Marsabit Counties by Catholic Relief Services (CRS)."
"Digital skills
programme, and
renovation of eight
Teacher Training
Colleges (TTC) ICT
laboratories","A programme with the goal of enhancing digital learning
in collaboration with the Ministry of Education, TSC of
Education and TSC."
"COVID-19 Adaptation
Revolving Fund
programme","While the grant for this programme came to an end during
the year, the aim was to provide micro loans to Kenyans
to cushion them against the effect of the COVID-19
pandemic."
"Wezesha Agri
Programme","A programme implemented by Africa Instore Solutions
(AIS), aimed at empowering women and youth in Kajiado
County through agriculture.
The programme ran from May 2022 to November 2023,
at a cost of KShs 23.9 million, focusing on
sustainable farming practices and economic
empowerment.
The programme was evaluated, with Phase 3 approved."
"Foundation CSI
initiatives and projects","These included:
• Tree growing
• Handover of community projects
• Medical camps pate in CSI activities."
Ndoto Zetu Phase V,"Phase V of Ndoto Zetu, a funding stream that supports the
dreams of Kenyans was launched."
Pamoja,"An initiative that supports Safaricom staff to identify
community projects."
Safaricom@20,"Safaricom’s 20th anniversary celebrations were initiated
on 9 August 2023 with the CEO leading employees at
Kenyatta National Hospital."
Leveraged funding,Various programmes and partnerships.
Disaster response,Support for Kenyans to access both food and non-food items.
