102.30,–,90.00,9.24,–,201.54
31.23,–,5.61,6.89,2.79,46.52
–,–,127.57,–,–,127.57
29.19,–,20.00,5.75,–,54.94
162.72,–,243.18,21.88,2.79,430.57
–,5.20,–,0.05,–,5.25
–,6.17,–,0.13,–,6.30
–,4.06,–,0.01,–,4.07
–,5.64,–,0.15,–,5.79
–,3.85,–,0.05,–,3.90
–,3.22,–,–,–,3.22
–,1.08,–,0.05,–,1.13
–,2.20,–,–,–,2.20
–,1.28,–,–,–,1.28
–,3.22,–,–,–,3.22
–,0.60,–,–,–,0.60
–,0.06,–,0.02,–,0.08
–,–,–,–,–,–
–,1.70,–,–,–,1.70
–,0.43,–,–,–,0.43
–,38.71,–,0.46,–,39.17
162.72,38.71,243.18,22.34,2.79,469.74
