FY22,FY21,% Change YoY
(107.4),(32.7),>100.0%
(760.1),(604.4),25.8%
(62.2),(55.4),12.3%
"(2,670.6)","(2,572.4)",3.8%
"(3,036.9)","(1,197.9)",>100.0%
"(22,554.1)","(18,188.1)",24.0%
(434.4),(610.7),(28.9%)
(482.0),(481.7),0.1%
"(5,209.6)","(3,901.9)",33.5%
(272.3),(323.2),(15.7%)
"(4,380.5)","(4,083.3)",7.3%
"(14,087.7)","(13,163.4)",7.0%
(803.5),(457.6),75.6%
(325.7),(362.1),(10.1%)
"(55,187.0)","(46,034.8)",19.9%
