Kshs Bn,Column,30-Sep-13,% Increase/
,30-Sep-14,,
,,,(Decrease)
"EBITDA
Working capital movement
Capital Additions",33.53,"28.86
2.05
(10.52)",16.18
,1.90,,(7.32)
,(12.37),,17.59
Operating free cash flow,23.06,20.39,13.09
"Interest received / (paid)
Taxation paid",,"(0.38)
(6.27)",
,0.07,,(118.42)
,(7.65),,22.01
Free cash flow,,13.74,
,15.48,,12.66
