Kshs Bn,Column,30-Sep-12,% Increase/
,30-Sep-13,,
,,,(Decrease)
"EBITDA
Working capital movement
Capital Additions
Other capital movements",28.85,"22.29
(5.87)
(8.55)
0.04",29.43
,2.05,,134.92
,(10.52),,23.04
,0.01,,(75.00)
Operating free cash flow,20.39,7.91,157.77
"Interest paid
Taxation paid",,"(0.77)
(2.00)",
,(0.38),,(50.65)
,(6.27),,213.50
Free cash flow,,5.14,
,13.74,,167.32
