(b) Company,TEAMS,SEACOM,KPLC,ETISALAT,TATA,Total
,Shs’000,"Shs’000
1,150,318
(76,743)",Shs’000,"Shs’000
84,140
(7,419)",Shs’000,
,"2,761,161",,"621,959",,"139,477",
,"(162,650)",,"(41,916)",,"(12,262)",
,"2,598,511","1,073,575","580,043","76,721","127,215",
,,"1,534,853
(461,278)",,"111,280
(34,559)",,
,"3,253,011",,"838,312",,"183,914",
,"(654,500)",,"(258,269)",,"(56,699)",
,"2,598,511","1,073,575","580,043","76,721","127,215",
,,"1,073,575
(76,743)",,"76,721
(7,419)",,
,"2,598,511",,"580,043",,"127,215",
,"(162,650)",,"(41,916)",,"(12,261)",
,"2,435,861","996,832","538,127","69,302","114,954",
,,"1,534,853
(538,021)",,"111,280
(41,978)",,
,"3,253,011",,"838,312",,"183,914",
,"(817,150)",,"(300,185)",,"(68,960)",
,"2,435,861","996,832","538,127","69,302","114,954",
